名前,グループ,プロファイル,有効,規則,操作,プログラム,ローカルIP,リモートIP,ローカルアドレス,リモートアドレス,プロトコル,ローカルポート,リモートポート
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信),デバイス キャスト機能,"ドメイン",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,任意,任意,任意,TCP,23554 23555 23556,任意
デバイス キャスト ストリーミング サーバー (RTSP ストリーミング受信),デバイス キャスト機能,"プライベート",有効,受信,許可,%SystemRoot%\system32\mdeserver.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,23554 23555 23556,任意
デバイス キャスト機能 (qWave TCP 受信),デバイス キャスト機能,"プライベート, パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,PlayToDevice,任意,PlayToDevice,TCP,2177,任意
デバイス キャスト機能 (qWave UDP 受信),デバイス キャスト機能,"プライベート, パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,PlayToDevice,任意,PlayToDevice,UDP,2177,任意
Teredo のネットワーク探索 (SSDP 受信),ネットワーク探索,"パブリック",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,任意,任意,任意,UDP,任意,任意
Teredo のネットワーク探索 (UPnP 受信),ネットワーク探索,"パブリック",有効,受信,許可,System,任意,任意,任意,任意,TCP,任意,任意
ネットワーク探索 (LLMNR UDP 受信),ネットワーク探索,"ドメイン, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5355,任意
ネットワーク探索 (LLMNR UDP 受信),ネットワーク探索,"プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,5355,任意
ネットワーク探索 (NB データグラム受信),ネットワーク探索,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,UDP,138,任意
ネットワーク探索 (NB データグラム受信),ネットワーク探索,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,138,任意
ネットワーク探索 (NB データグラム受信),ネットワーク探索,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,138,任意
ネットワーク探索 (NB 名受信),ネットワーク探索,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,UDP,137,任意
ネットワーク探索 (NB 名受信),ネットワーク探索,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,137,任意
ネットワーク探索 (NB 名受信),ネットワーク探索,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,UDP,137,任意
ネットワーク探索 (Pub WSD 受信),ネットワーク探索,"プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
ネットワーク探索 (Pub WSD 受信),ネットワーク探索,"ドメイン, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
ネットワーク探索 (SSDP 受信),ネットワーク探索,"ドメイン, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
ネットワーク探索 (SSDP 受信),ネットワーク探索,"プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,1900,任意
ネットワーク探索 (UPnP 受信),ネットワーク探索,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,2869,任意
ネットワーク探索 (UPnP 受信),ネットワーク探索,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
ネットワーク探索 (UPnP 受信),ネットワーク探索,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,2869,任意
ネットワーク探索 (WSD EventsSecure 受信),ネットワーク探索,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,5358,任意
ネットワーク探索 (WSD EventsSecure 受信),ネットワーク探索,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,5358,任意
ネットワーク探索 (WSD EventsSecure 受信),ネットワーク探索,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,5358,任意
ネットワーク探索 (WSD イベント受信),ネットワーク探索,"パブリック",無効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,5357,任意
ネットワーク探索 (WSD イベント受信),ネットワーク探索,"プライベート",有効,受信,許可,System,任意,ローカルサブネット,任意,ローカルサブネット,TCP,5357,任意
ネットワーク探索 (WSD イベント受信),ネットワーク探索,"ドメイン",無効,受信,許可,System,任意,任意,任意,任意,TCP,5357,任意
ネットワーク探索 (WSD 受信),ネットワーク探索,"ドメイン, パブリック",無効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
ネットワーク探索 (WSD 受信),ネットワーク探索,"プライベート",有効,受信,許可,%SystemRoot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
ネットワーク探索 (WSD 受信),ネットワーク探索,"ドメイン, パブリック",無効,受信,許可,%SystemRoot%\system32\dashost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
ネットワーク探索 (WSD 受信),ネットワーク探索,"プライベート",有効,受信,許可,%SystemRoot%\system32\dashost.exe,任意,ローカルサブネット,任意,ローカルサブネット,UDP,3702,任意
パフォーマンス ログと警告 (DCOM 受信),パフォーマンス ログと警告,"プライベート, パブリック",無効,受信,許可,%systemroot%\system32\svchost.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,135,任意
パフォーマンス ログと警告 (DCOM 受信),パフォーマンス ログと警告,"ドメイン",無効,受信,許可,%systemroot%\system32\svchost.exe,任意,任意,任意,任意,TCP,135,任意
パフォーマンス ログと警告 (TCP 受信),パフォーマンス ログと警告,"プライベート, パブリック",無効,受信,許可,%systemroot%\system32\plasrv.exe,任意,ローカルサブネット,任意,ローカルサブネット,TCP,任意,任意
